"Date"	"SeriesID"	"value"	"Description"	"Adjustment"
1980-09-01	"A2413051X"	108943000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1980-10-01	"A2413051X"	115465000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1980-11-01	"A2413051X"	95472000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1980-12-01	"A2413051X"	101016000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1981-01-01	"A2413051X"	87005000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1981-02-01	"A2413051X"	88319000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1981-03-01	"A2413051X"	100354000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1981-04-01	"A2413051X"	100840000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1981-05-01	"A2413051X"	97424000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1981-06-01	"A2413051X"	96992000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1981-07-01	"A2413051X"	107299000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1981-08-01	"A2413051X"	93986000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1981-09-01	"A2413051X"	102884000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1981-10-01	"A2413051X"	88319000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1981-11-01	"A2413051X"	88666000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1981-12-01	"A2413051X"	89548000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1982-01-01	"A2413051X"	73055000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1982-02-01	"A2413051X"	74693000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1982-03-01	"A2413051X"	100307000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1982-04-01	"A2413051X"	77386000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1982-05-01	"A2413051X"	83015000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1982-06-01	"A2413051X"	89781000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1982-07-01	"A2413051X"	77213000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1982-08-01	"A2413051X"	85050000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1982-09-01	"A2413051X"	86894000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1982-10-01	"A2413051X"	81190000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1982-11-01	"A2413051X"	89739000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1982-12-01	"A2413051X"	89215000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1983-01-01	"A2413051X"	77252000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1983-02-01	"A2413051X"	88258000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1983-03-01	"A2413051X"	122302000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1983-04-01	"A2413051X"	100544000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1983-05-01	"A2413051X"	123466000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1983-06-01	"A2413051X"	124745000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1983-07-01	"A2413051X"	115078000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1983-08-01	"A2413051X"	140012000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1983-09-01	"A2413051X"	135877000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1983-10-01	"A2413051X"	139193000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1983-11-01	"A2413051X"	163802000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1983-12-01	"A2413051X"	152829000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1984-01-01	"A2413051X"	138548000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1984-02-01	"A2413051X"	178043000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1984-03-01	"A2413051X"	195264000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1984-04-01	"A2413051X"	177987000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1984-05-01	"A2413051X"	218457000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1984-06-01	"A2413051X"	186302000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1984-07-01	"A2413051X"	205090000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1984-08-01	"A2413051X"	216636000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1984-09-01	"A2413051X"	184442000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1984-10-01	"A2413051X"	215234000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1984-11-01	"A2413051X"	191285000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1984-12-01	"A2413051X"	164159000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1985-01-01	"A2413051X"	200140000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1985-02-01	"A2413051X"	196417000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1985-03-01	"A2413051X"	212316000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1985-04-01	"A2413051X"	190129000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1985-05-01	"A2413051X"	244188000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1985-06-01	"A2413051X"	193961000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1985-07-01	"A2413051X"	242304000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1985-08-01	"A2413051X"	212549000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1985-09-01	"A2413051X"	191873000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1985-10-01	"A2413051X"	213793000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1985-11-01	"A2413051X"	175594000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1985-12-01	"A2413051X"	145463000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1986-01-01	"A2413051X"	139430000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1986-02-01	"A2413051X"	124403000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1986-03-01	"A2413051X"	129272000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1986-04-01	"A2413051X"	187628000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1986-05-01	"A2413051X"	171782000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1986-06-01	"A2413051X"	146736000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1986-07-01	"A2413051X"	177182000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1986-08-01	"A2413051X"	153440000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1986-09-01	"A2413051X"	153163000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1986-10-01	"A2413051X"	183526000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1986-11-01	"A2413051X"	158536000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1986-12-01	"A2413051X"	171924000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
